chr	start	end	DAF
22	14999999	15099999	NA
22	15099999	15199999	NA
22	15199999	15299999	NA
22	15299999	15399999	NA
22	15399999	15499999	NA
22	15499999	15599999	NA
22	15599999	15699999	NA
22	15699999	15799999	NA
22	15799999	15899999	NA
22	15899999	15999999	NA
22	15999999	16099999	NA
22	16099999	16199999	NA
22	16199999	16299999	NA
22	16299999	16399999	NA
22	16399999	16499999	NA
22	16499999	16599999	NA
22	16599999	16699999	NA
22	16699999	16799999	NA
22	16799999	16899999	NA
22	16899999	16999999	NA
22	16999999	17099999	NA
22	17099999	17199999	NA
22	17199999	17299999	NA
22	17299999	17399999	NA
22	17399999	17499999	NA
22	17499999	17599999	NA
22	17599999	17699999	NA
22	17699999	17799999	NA
22	17799999	17899999	NA
22	17899999	17999999	NA
22	17999999	18099999	NA
22	18099999	18199999	NA
22	18199999	18299999	211;6;3;0;1;5;2;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
22	18299999	18399999	NA
22	18399999	18499999	NA
22	18499999	18599999	NA
22	18599999	18699999	NA
22	18699999	18799999	NA
22	18799999	18899999	47;3;1;0;1;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0
22	18899999	18999999	NA
22	18999999	19099999	NA
22	19099999	19199999	NA
22	19199999	19299999	NA
22	19299999	19399999	NA
22	19399999	19499999	NA
22	19499999	19599999	NA
22	19599999	19699999	NA
22	19699999	19799999	NA
22	19799999	19899999	NA
22	19899999	19999999	NA
22	19999999	20099999	NA
22	20099999	20199999	NA
22	20199999	20299999	NA
22	20299999	20399999	NA
22	20399999	20499999	NA
22	20499999	20599999	NA
